,text
9406,Здесь нужно все эти документы подписать?
9407,Ребят подскажите со скольки приемная комиссия работает?
9408,Здравствуйте откуда нужно заявление на общежитие подавать через Лк абитуриента или Лк студента? Или вообще без разницы?
9409,Здравствуйте подскажите пожалуйста в лк же только справки и полис для общежития нужно заполнить? Состав семьи можно не заполнять?
9410,Мне выдали справку из кожно-венерологического диспансера в которой нет номера справки Можно прочерк поставить?
9411,Сколько процентов отчисляются после первого курса?
9412,А если бы была какая-то проблема с справками  меня бы оповестили об этом?
9413,Ребят а куда придёт уведомление о том приняли меня в кпк или нет?
9414,А можно в общежитии иметь свою мультиварку и маленький холодильник?
9415,"Кстати а куда чемоданы деваются?"")"
9416,А количество свободных неизвестно?
9417,Но если не будет можно до 15 заехать?
9418,А в какие даты примерно заселяют тех кто второй волной?
9419,В некоторых вузах в общежитие выдают постельное белье в политехе есть такая штука?
9420,А когда известна будет дата заселения?
9421,"Нужно спросить или просто перед фактом поставить?"")"
9422,а где номер посмотреть можно? извиняюсь я эту инфу пропустила
9423,а кому писать? напрямую в студгородок или через куратора?
9424,А если в другой день приезжаешь нужно предупреждать или просто приходишь?
9425,А 5 общага вообще может появиться в выборе?
9426,Ребят а как понять какой это номер общежития?🥴
9427,Как понять могут ли кончиться из моего города?
9428,Удобнее всё-таки в назначенное? Я просто теперь из-за билетов переживаю Но не могут же они кончиться По крайней мере мне так кажется
9429,Я так понимаю в назначенное время едет меньшинство?
9430,Поэтому покупают раньше чтобы дешевле?
9431,А почему так? Это смотря какой город?
9432,Чего )?   В любом случае информацию по договорам ещё напишут
9433,вот я про это и спросила  а где его там подписывать? тоже в сведениях для поступающих или в заселении?
9434,А если мне 18 родитель не нужен чтобы договор подписать?
9435,такой вопросик после выбора общаги мне в ЛК абитуриента больше ничего подписывать не надо будет? типо договора о найме жилья и тд (его может просто при заселение родитель подписать разрешение и дальше уже заполнять? или надо будет в ЛК ещё что-то делать?)
9436,Почему на 1-ю такой ажиотаж если на БС только транспортники учатся?  Ближе до остальных корпусов?
9437,Два это как? Два одинаковых или в двух разные прививки?
9438,у меня два сертификата о прививкахнужно их вместе прикрепить или только тот который позже один подойдет?
9439,Подскажите 3 е общежитие нормальное ? Коменданты и все такое 😙
9440,а с жур фака кто-то может есть? 🥺
9441,Привет есть кто-то с направления инноватика?
9442,Этот список появится в ЛК в день выбора?
9443,Каким образом всем хватает мест если так быстро разбирают? 😰
9444,Странный порядок вопросов убить только девушки могут?
9445,А в 7 меня не убьют если я нечаянно туда попаду? Или там только парни в принципе?
9446,Ребят а что не так с 7 общагой?
9447,есть ли смысл покупать такой рюкзак чтобы в него физкультурная форма вместилась?
9448,То есть остальное по идее успеть можно?
9449,где у вас проходят пары по физре?
9450,Бывает вообще такое что люди не успевают в свою ролну из-за работы сайта?
9451,010302 Прикладная математика и информатика Интеллектуальные системы управления транспортом Сколько дней очного обучения в неделе? 5 или 6?
9452,Кто знает до скольки часов будет идти адаптивный курс?
9453,Можно ли как-то достоверно узнать где первый год будут проходить занятия?
9454,"А по каким ""вторичным половым признакам"" мы узнаем что общежитие уже можно выбирать?"
9455,А насколько быстро все разбирают?😅
9456,Что обычно затрудняет этот процесс?
9457,А вы планируете переселиться в другое общежитие?
9458,"Специальность 15030501 ""Компьютерное проектирование оборудования и производств"" весь первый год обучения в корпусе на Автозаводской заниматься будет?  Какое общежитие в этот первый год лучше выбрать?"
9459,Можете сказать в какие общежития точно не стоит идти?
9460,Ребята а есть какие-нибудь чаты первокурсников или что-то такое? Хочется уже начать знакомится с людьми😁
9461,А после выбора общаги когда станет известно своя дата заселения?
9462,Подскажите когда платники заселяются в общагу? И какие из общаг хорошие ?
9463,А как можно выяснить какое общежитие лучше подходит? Можно как-то посмотреть перед выбором их?
9464,кнопка «выбрать» с папочкой не работает?)
9465,А можно прикрепить санкнижку со страницей о профилактичечких прививках?
9466,для общаг допустимы удлинители с предохранителем только бренда pitot?
9467,Если кто-то из родителей приедет на них тоже нужно заявление?
9468,Как найти этот раздел на сайте?
9469,Прикреплять справки лучше в лк абитуриента или студента?
9470,А где найти раздел для общежития?
9471,Жоские или нормальные кенты имеются?
9472,подскажите а гирлянду можно в комнату общежития?
9473,"Подскажите пожалуйста а информация по поводу КПК будет у всех (прошли/не прошли) или только у тех кто ""выиграл""?"
9474,У тебя работают кнопки выбрать файл?
9475,а в каждое общежитие своя дата заселение будет? или с 1 числа можно уже заселяться
9476,а можно узнать почему учеба так поздно начинается?
9477,А вы не знаете зачетка электронная будет у первашей?¿
9478,В разделе заселение в общежитие всё подписано?
9479,А в разделе общежития что-то есть?
9480,Это в разделе сканы документов?
9481,А ты подписывала что ознакомлена с информацией в случае возникновения ЧП и так далее?
9482,А когда договор о найме жилья подписывается? Уже после выбора общаги я так понимаю
9483,Подскажите что делать если у меня нет раздела для прикрепления справок в лк абитуриента? Там только инфа о родителях сведения о воинском учете снилс и полис
9484,Фотографию на студак желательно до какого прикрепить?
9485,А зачем нужна информация о родителях?
9486,Сертификат можно о прививках вместо справки?
9487,"Надпись ""справка сохранена"" была?"
9488,А как понять что справки приняли и я смогу выбрать общежитие?
9489,здравствуйте я делала в квд тест на сифилис и вместо rw мне сделали анализ микрореакция преципитации а результат написали в справку от квд я прикрепила 1 справку к квд и rw с этим же не возникнет проблем?
9490,Никто вроде не спрашивал у вас в университете нет военной кафедры но может есть какие-то возможности пройти ее в других местах учась при этом в политехе? Или здесь уже без вариантов?((
9491,Он может из-за этого отклонять? Нажимаю сохранить и не сохраняет😅
9492,"Подскажите пожалуйста в учебных корпусах гардеробы есть или ""всё своё ношу с собой""?"
9493,Приветствую Не подскажете простое фото сюда не подойдет нужно именно отсканировать?
9494,Или можно просто полис туда загрузить?
9495,Подскажите пожалуйста что это за справка?
9496,"Добрый день Скажите пожалуйста при загрузке справок в пункте ""кем выдано"" нужно указывать организацию которая выдала справку?"
9497,А с другими корпусами общаги работает?
9498,У меня вопрос 22 у меня запись на прием в кожно-венерологический диспансер С собой у меня есть 086у и пока делается справка на ВИЧ И RW Я смогу пока выбрать общежитие а чуть позже предоставить все справки и тп?
9499,А заявление по какой-то форме пишется?
9500,А заявление пишут прямо на посту охраны отдают на подпись и можно проходить или как-то иначе все проходит?
9501,подскажите пожалуйста а как обстоят дела в общаге с гостями? пускают без проблем с 10 до 23 или нет?
9502,а нужно заселяться в общежитие в определённую дату или если не смогу то до 15 числа?
9503,Утро доброе всем подскажите пожалуйста что нужно взять с собой в общагу Ну в плане что там могут выдать а что нет?
9504,То есть не надо никаких фотографий прикладывать? И прочей чепухи
9505,А писали ещё о справке о группе здоровья Куда её добавлять нужно вообще?
9506,А можно ссылку на это? Там просто предлагают 3 различных анализа и все не rw
9507,Кто-то делал уже справки на RW? Получиться сделать её в invitro? И что если там не rw а rpr?  Каакого типа нужна справка из кожно-венерического диспанцера?
9508,Доброе утро Соорентируйте пжл по моменту  когда уже выбираем общежитие чтобы ничего не упустить))) Что где должно появиться куда надо нажать как это выглядит в личном кабинете?  И что делать если эта кнопка вдруг не появилась?
9509,Этот раздел обязательно заполнять если подавала документы через лк и оригинал аттестата уже в приемке?
9510,Вы же загрузили сканы в выбор общежития куда ещё хотите?
9511,А если не получается уже редактировать что-то?🤷🏻‍♂️
9512,Подскажите пожалуйста В лк абитуриента в разделе «сканы документов» у меня прикреплен только скан СНИЛСа и ИД сканов паспорта и аттестата нет и прикрепить их туда не получается Необходимы ли эти справки и как все-таки их туда прикрепить если они необходимы?
9513,О а поподробнее можно? Там по факультетам?
9514,Народ а есть уже какие нибудь неофициальные чаты для первокурсников?
9515,Народможете подсказать справка о наличии прививок и прививочный сертификат это одно и то же?
9516,а вот насчет фотографии на студак я в лк никакие заявления не подавала все очно делала и у меня нет вкладки куда можно фотку добавить что делать?😭
9517,Как набрать 50 баллов на физре не ходя на нее?  Может кружки какие?  Первый семестр
9518,А если у меня книжка прививок то как ее прикрепить в лк и подойдет ли она?
9519,Ребят а сегодня кто нибудь выбирал общежитие ??
9520,Ребят карту с прививками сразу прикрепляем ? А если его нет ? 🤔
9521,как справку для военкомата получить?  она делается уже тогдакогда студентом становлюсь?
9522,а на первом курсе берут на стажировки?
9523,а это нормально что это все пустое? если что я отправляла справки еще позавчера или даже раньше
9524,Результат по КПК только 21 го августа или возможно раньше?
9525,а справку для военкомата как получить?
9526,Копии каких документов потом понадобятся при заселении?
9527,а четип не все справки от дерматолога подходят?  мне прост врач сделално все от руки расписал
9528,у кого-то существует такое достижение?
9529,Переделали справку Подскажите пожалуйста теперь всё так? Такая подойдёт справка?
9530,А если справки не загружаются что делать еще раз?
9531,А что будет если не успеть загрузить справки до 27?
9532,Ребят а учеба когда начинается?
9533,Привет я оплатил обучение какие дальнейшие мои действия? Или все?
9534,Здравствуйте подскажите пожалуйста если заселиться 1 или 2 сентября можно будет жить в общежитии с момента заселения?
9535,Декларация о отсутствии болезней?
9536,а декларацию сюда ? вместе со справками ?
9537,Да а раздел «сканы документов» заполнять или нет?
9538,А тем кто нуждается в общежитии заполнять только раздел «сведения для поступивших» ?
9539,А когда кураторы обычно на связь выходят?
9540,Подскажите я так поняла что мне нужно сделать справку для физкультуры фото 3х4 прикрепить в личном кабинете абитуриент и всё? Если что у меня нет общежития
9541,А волны общежития сами откроются в зависимости от льгот/баллов или надо будет ещё какую-то заявку подавать?
9542,А справки потом нужно лично приносить?
9543,Скажите а первая волна выбора общежития уже началась или это только комнаты особого комфорта?
9544,Понятно А когда можно будет выбирать?
9545,А уже выбирать можно или пока нет?
9546,в 10 парни могут попасть только в коридорный тип ?
9547,А в 10 общаге блочный тип дают только девочкам? Не может так получится что девочка в коридорный попадёт?
9548,можно скрин где написано про 14 дней после заселения?
9549,Извините уточняю Для выбора общежития допускаются те кто только декларацию за сутки до выбора подписал а справки все можно будет предоставить в течение 14 дней после заселения сейчас не нужно так?
9550,а постельное в общагах выдают или нужно свое везти?
9551,А какие справки нужны для тех кто не заселяется ?😅😅
9552,здравствуйте а почему справки не видны? 🥹👉👈
9553,Как сегодня с вопросами все ок?
9554,простите я затупок если справки отправились это никак не отображается?
9555,А надо сведения об учащихся все заполнять если мне не нужно общежитие?
9556,Если примерно 27-28 прикрепить? 🧐
9557,Фотки? До адаптива желательно чтобы студак сделали
9558,А есть даты до которых это надо все прикрепить?
9559,На студенческий нужна чб фотка в анфас?
9560,Или те 4 при подаче доков перед вступительными?
9561,Вопрос а зачем фотку в личном кабинете прикреплять если нас фоткали в Политехе при подачи оригиналов?
9562,На студак нужны фотки 3х4 или 35х45?
9563,А при внесении справок в лк абитуриента что писать в строке «серия» «номер»? В самих справках этого нет🤷🏻‍♂️
9564,Привет Не знаете когда будет итоговый список тех кто зачислен в магистратуру на бюджет?  И приходит ли какое-то уведомление о зачислении?
9565,а в лк студента не надо? просто там тоже раздел есть предоставления медицинских справок
9566,а на каком из них надо справки все прикреплять?
9567,а чем отличаются личные кабинеты на этих сайтах? lkmospolytechru и emospolytechru
9568,или в каждую эту инстанцию свою?
9569,у ты из университета одну справку брала?
9570,а вы не знаете случайно какую именно справку мне нужно взять может у кого-то такая же ситуация была?
9571,можете подсказать где брать справку о том что я учусь?
9572,а на кпк конкурс ведётся по баллам?
9573,А когда у нас выбор общежития происходит?
9574,А если прикрепил все справки сохранил и при проверке какая то не устроит об этом сообщат? Чтобы можно было переделать до выбора общежития
9575,Ребят а справки нужны при физическом заселении в общагу или при выборе общежития на сайте?
9576,А ведь можно несколько раз справки подгружать?
9577,там же не будут сильно придираться?
9578,варианта получить другую уже нет?
9579,это прям обязательно? там же итак понятночто я здорова
9580,Норм скан или угол убрать надо?
9581,Что конкретно в справки должно быть? Этот врач который дал справку дерматологвинеролог Время есть переделать справку какие фразы в справки должны быть что бы не было сомнений Меня она тоже смутила поэтому решили проконсультироваться
9582,Почему нужная? Она же не из кождиспансера D
9583,здравствуйте подскажите такая справка подойдет?
9584,а если в лк пишет сохранение справки успешно прошло но они пропали сами то они засчитались как отправленные?
9585,У политеха есть группа со смешнявками какая-то локальная?
9586,"Это нормально что у меня некуда загружать справки в разделе ""сканы документов""?"
9587,Если результы на вич и результаты на сифилис на разных справках как их прикреплять?
9588,@strigowa сравнивали JBL с чем нибудь ещё? Есть разница?
9589,Senior  на какой-то из твоих фоток есть чел с шапкой деда Мороза это кто?
9590,Кстати модераторы а на каких началах вы тут цензурите и следите за порядком? В кайф?)
9591,А можно не надо? Терпеть не могу это
9592,А если на фотографии справки видео что-то кроме справки то ок ?
9593,Почему было? Разве сейчас не лучше?
9594,Кстати А каков шанс того что выбор общежития откроется раньше указанной даты?
9595,А сколько стоило заменить двухэтажную кровать на две обычные?
9596,А постеры и карточки всякие на стену можно лепить без проблем?
9597,Кстати ещё об общежитии 4 Как думаете какая квартира лучше 1/2/3 комнаты?
9598,Кстати @v30AgreST а что там с карбонарой-то?
9599,Девушки-модераторы скажите пожалуйста а у вас хоть раз была кулинарная ярмарка? А то вы тут столько про еду говорите что создаётся впечатление будто она готовится на одной из кухонь дома 24/7 То на одной то на другой  Хоть впору проводи соревнования по рестораторскому мастерству😂
9600,Чего их ждать? И так сами появляются из неоткуда
9601,Неужели настолько все с криминалом плохо? Куда все котики подевались?
9602,Это запреты общежития если я хочу готовить блинчики и продавать их за 30 рублей штука это считается предпринимательской деятельностью? 🤔
9603,Мне дадут иногда ночевать с кем-то в общаге? 🥹
9604,А бешамель пробовала делать? Он у тебя схватывается нормально?
9605,Я могу хлеб резать это уже норм?
9606,Кстати Как вам жить в трёшке семером когда всего четыре конфорки?)
9607,Если у меня флюорография годна до сентября но я уже буду в общаге жить По окончанию срока действия меня попросят еще раз делать флюорографию ?
9608,Если у меня в городе нет кождисрансера если мне справку и печать поставит дерматолог такое модойдет чтобы в ЛК загрузить ?
9609,Даже обои поклеили да @strigowa ?
9610,А есть где-нибудь приют для бездомных?
9611,как я понял это две волны заселения ?
9612,а ты разные браузеры пробовала? если не получитсяпопробуй пароль поменять(
9613,он у тебя сразу ошибку выдает или после заполнения данных?
9614,на трёх устройствах ты все это чистила?
9615,А можно как-то иначе выбрать кроме ЛК?
9616,Так только на одном устройстве или на всех?
9617,Ну А если я пишу его рукой и распечатаю лист для особо требовательных?)
9618,Вот здесь должен ли сайт выдавать логин? После ввода данных ничего не происходит Подскажите пожалуйста
9619,Какой планшет? Если айпад то я за него
9620,Можно как-то иначе выбрать общагу кроме ЛК?
9621,Товарищи студенты Будьте любезны скажите пожалуйста что лучше для ведения конспектов и в общем планшет со стилусом или тетрадь с ручкой?   Если нужно могу расписать плюсы и минусы каждого варианта
9622,Скажите пожалуйста а заочникам создали личные кабинеты? Пока не удаётся узнать логин войти и так далее
9623,А документ подтверждающий оплату как можно будет получить?
9624,а с другой стороны есть что-то еще?
9625,Такая штука для прививок подходит?
9626,у вас капуста на голове это костюм на посвят?
9627,У кого был стикер с котиком который кусает лапку и надпись стлесс?
9628,Так омс и справки не должны никак отображаться после сохранения да?
9629,Добрый вечер) а подскажите пожалуйста по магистратуре почему при наличии 10 бюджетных мест в реальном рейтинге отображается 9 человек? Смотрела несколько направлений везде так 10й человек в реальном рейтинге не отображается 🤔
9630,не согласны с правилами? обратитесь в приемную комиссию
9631,Ребята куда тыкать ? Чтоб загрузить справки (нажимаем сканы там ни чего не можем добавить
9632,я ведь могу сделать это онлайн?
9633,Народ возник вопрос при отправке медицинских справок можно ли уже сейчас выбрать комнату и общежитие? И является ли это подачей заявление на участие в конкурсе по получению общежития?
9634,Получается из дому и еще до февраля тоже дома остаёмся?
9635,А у нас сессии что-ли в дистанционном формате?
9636,нужна ли справка на отсутствие ковида? нужно ли ее прикреплять? про нее я не видела на сайте инфу
9637,Ладно значит все норм и это сайт виснет?
9638,есть надпись об успешной загрузке?
9639,Медкарта в другом регионе а справка уже в Москве Можно пойти к любому терапевту в Москве чтоб дописали?
9640,"Подскажите пожалуйста есть какой-то образец для согласия ""законного представителя несовершеннолетнего на заключение договора найма жилого помещения""? И сами документы в личном кабинете? Или очно так-же нужно? Исхожу из ""Инструкция для выбора общежития и подписания договора найма жилого помещения"" (Договор найма жилого помещения подписывается зачисленным с использованием электронной цифровой подписи в личном кабинете ) Если нет 18 до 9 сентября нужно ли ехать с родителями или можно обойтись без них?"
9641,Скажите пожалуйста возможно повторюсь вопросом В справке 086у не стоит группа здоровья что делать? И в медкарте тоже В медкарте стоит когда было 16 лет Что делать?
9642,вообще все это прям досконально смотрят?
9643,А при  сохранении справки для общежития она должна исчезнуть или нет?
9644,а если я не успею справки до 27 сделать? смерть?
9645,А как можно сдавать оригинал? Разве копии не достаточно?
9646,Оригиналы справок которые мы добавляет в личный кабинет нужну будут после?
9647,Здравствуйте справки будут у меня готовы для общежития только 23 числа Я не опоздаю?
9648,ой а еще вопросик в новогодние праздники и другие когда вся(почти) страна отдыхает политех тоже отдыхает? имею ввиду те дни/праздники что в производственном календаре утверждены
9649,а если не загружать полис в лк шо будет (или не будет)?
9650,А куда загружать сканы справок для общежития? В разделе «заселение в общежитие» только четыре подписанных мной документа а места для загрузки справок не вижу… (Магистратура)
9651,Просто в самый конец дат листать и это вбырать?
9652,А что писать в дате окончания полиса омс?
9653,воровство в общагах часто происходит?
9654,Добрый день Написал на почту campus@mospolytechru два раза по поводу справки (флюрография действительна до октября раньше новую сделать в больнице не дают) так и не ответили Как можно еще связаться?
9655,хорошоа есть список тогочто нельзя завозить?
9656,можно ли завозить в общагу комп?
9657,Подскажите пожалуйста предложим если меня заселяют 1-2 числа а я приеду 5-6 я смогу заселиться или моё место аннулируется?
9658,Добрый день как подать документы на общежитие если я подавала очно? Личный кабинет абитуриента создала но в нем вот такая информация
9659,Привет  Нужно ли в начале учебы доносить справку 86у+флг? Не для общаги а просто так по приколу   Или в начале учебы для перваков будет мед комиссия?
9660,а точто последний день ничего страшного?
9661,Подскажите а если вот сейчас сделала все справки кроме одной а ее только в понедельник смогу сделать есть смысл выгружать те которые есть?
9662,Подскажите пожалуйста удобней будет московскую сим-карту взять или со своей остаться?
9663,объясните где нужно искать учебные планы на 2022 или 2023 год?
9664,А если у флюорографии нет номера? Что делать?
9665,Где именно в лк абитуриента подгружать все справки ?
9666,А куда загружать справки для общежития?
9667,Подскажите пожалуйста где подается заявление на кпк?
9668,как долго эта справка актуальна?
9669,за этим нужно обращаться в московский мфц?
9670,значит нужно дождаться начала учебного года и ток потом заниматься этим?
9671,Справки где 2 страницы обязательно пдфом отправлять или можно на одну фотографию засунуть в фотошопе?
9672,можно ли запросить в мфц вуза справку о том что я обучающийся если я только поступила?
9673,такая справка от дерматовенеролога подойдёт?
9674,а если я выбираю общежитие 28 августа справки до 27 могу прикрепить? или до 21 нужно?
9675,А ты когда сохраняла справки была фраза «документ загружен»?
9676,Блин а нельзя никак в телеге найти людей которые сидят в приемной комиссии чтобы они помогли справки загрузить? 😪
9677,А если справки не загрузятся до 19 августа то я с комнатой повышенного комфорта пролетаю?
9678,У меня не получается второй день загрузить в личный кабинет абитуриента справку Написала на почту приемной комиссии но мне кажется что там никто не ответит Что делать? 😭
9679,Как превратить 10ти страничный сертификат с прививками в справку с серией и номером?
9680,как сертификат о прививках вставлять?
9681,Добрый день Подскажите пожалуйста в 4 общаге по сколько человек в комнате живут девушки?
9682,А закреплять сертификат о прививках обязательно перед выбором общежития?
9683,Супер я что-то пропустила Откуда взять логин и пароль?
9684,а в ЕУЗе можно будет чекнуть телефон/почту одногруппников? ну или какие-то способы связи
9685,Добрый день  Может кто-нибудь знает куда обращаться по поводу социальных пособий (надо продлить его в ПФР а для этого нужны будут документы о том что я поступила/учусь)?
9686,а полис омс надо лицевую сторону скан прикрепить только?
9687,Здравствуйте этой приписки про группу здоровья в справке 086/у достаточно или нужно что-то ещё?
9688,Здравствуйте хотел бы поинтересоваться - когда выйдут приказы о зачислении на платную основу? Оплата была 8 августа
9689,а больше одного скана нельзя прикрепить? просто у меня две справки вич и rw
9690,"Надпись ""документ сохранен"" была?"
9691,а почему у меня снилс не сохраняется ?
9692,Здравствуйте где в личном кабинете подать заявку на кпк?
9693,Ничего если прочерк поставила?
9694,Там должна быть конкретная форма?
9695,Подскажите пожалуйста к какому врачу обращались за справкой о группе здоровья?
9696,Оплатили сейчас обучение через онлайн-банк нужно ли скинуть подтверждение оплаты на почту политеха или нет?
9697,а можно страницы прививочного паспорта прикрепить в справку о наличии прививок?
9698,а состав семьи обязательно заполнять?
9699,а «сведения для подступивших» в личном кабинете надо заполнять?
9700,Скажите у кого при загрузке мед справок в ЛК абитуриента не отображались эти справки - как-то решился вопрос? И вообще есть понимание как  в этой ситуации поступать 🤷‍♀
9701,А был у кого-нибудь опыт заселения до сентября?🥲
9702,Блин а если у меня с мамой фамилии разные?
9703,Если в анкету о составе семьи внести человека его в общежитие спокойно впускать будут?
9704,Что анкета для поступающих? Если я вот поступил и не могу её редактировать и поставить фотку
9705,а в политехе сессии дистанционно ?
9706,А вы сами носите с собой справки со всеми диагнозами которые вам ставили?
9707,О том что я на учёте стою или о том что я здоров?
9708,А на физ-ру лучше копию принести да?
9709,Ты не знаешь когда тебе станет плохо понимаешь?)
9710,Если вам так легко становится плохо то зачем брать основную группу здоровья?
9711,Ну так группу здоровья вам как напишут?
9712,Необязательных осмотров? По-моему это одна из немногих справок которая фактически полностью вас обследует и показывает уровень здоровья
9713,Почему же? Она может пригодится если там есть запись о медицинской группе для занятий спортом
9714,Ребзи кто знает с четверга на пятницу вещие сны снятся?  И может кто-то на таро определить кого подселят к нам в квартиру?  (Вопросы без рофла)
9715,Так если вам терапевт это говорит зачем тут переспрашивать?
9716,А в справке место учёбы работы писать что закончил? Или куда поступаешь?
9717,подскажите пожалуйста а заполнять только раздел сведения для поступивших?
9718,для чего нужен код какой то и что после этого кода будет ?
9719,почему я не могу редактировать анкету и нормально что у меня в анкете фотки нет?
